target,metric,count,median_ms,mean_ms,p95_ms,min_ms,max_ms
flow,connect,30,34.4,34.3,35.7,32.3,36.7
flow,tls,30,81.9,78.7,91.3,59.0,119.4
flow,ttfb,30,258.3,357.7,886.2,163.7,972.1
flow,total,30,258.5,357.9,886.5,163.8,972.4
flow,server_after_tls,30,189.5,279.0,821.5,80.3,908.9
legacy,connect,30,34.4,34.3,35.8,32.5,35.9
legacy,tls,30,81.6,77.7,88.9,60.1,91.1
legacy,ttfb,30,277.0,338.1,505.5,180.9,1787.3
legacy,total,30,277.3,338.4,505.6,181.2,1787.6
legacy,server_after_tls,30,197.2,260.4,420.6,115.2,1705.5
