phase,ordinal,http_code,ttfb_ms,total_ms,size_download
warmup,1,200,383.599,383.687,30058
warmup,2,200,223.695,223.76,30058
warmup,3,200,162.242,162.341,30058
measured,1,200,303.591,303.716,30058
measured,2,200,211.85,211.94,30058
measured,3,200,196.176,196.269,30058
measured,4,200,161.399,161.451,30058
measured,5,200,166.657,166.737,30058
measured,6,200,159.647,159.717,30058
measured,7,200,154.056,154.112,30058
measured,8,200,163.726,163.845,30058
measured,9,200,149.094,149.195,30058
measured,10,200,171.399,171.477,30058
measured,11,200,162.692,162.786,30058
measured,12,200,150.621,150.671,30058
