variant,phase,ordinal,wall_ms,status,responseBytes,items,count
empty,warmup,1,238.796,0,0,0,0
empty,warmup,2,163.74,0,0,0,0
empty,warmup,3,156.344,0,0,0,0
empty,warmup,4,150.842,0,0,0,0
empty,warmup,5,170.755,0,0,0,0
empty,measured,1,155.125,0,0,0,0
empty,measured,2,148.29,0,0,0,0
empty,measured,3,155.55,0,0,0,0
empty,measured,4,163.939,0,0,0,0
empty,measured,5,143.927,0,0,0,0
empty,measured,6,150.866,0,0,0,0
empty,measured,7,164.733,0,0,0,0
empty,measured,8,146.459,0,0,0,0
empty,measured,9,152.934,0,0,0,0
empty,measured,10,152.85,0,0,0,0
empty,measured,11,156.74,0,0,0,0
empty,measured,12,140.348,0,0,0,0
empty,measured,13,140.818,0,0,0,0
empty,measured,14,156.037,0,0,0,0
empty,measured,15,169.594,0,0,0,0
empty,measured,16,140.397,0,0,0,0
empty,measured,17,141.192,0,0,0,0
empty,measured,18,163.697,0,0,0,0
empty,measured,19,161.95,0,0,0,0
empty,measured,20,171.173,0,0,0,0
http,warmup,1,184.467,200,46091,0,0
http,warmup,2,187.441,200,46091,0,0
http,warmup,3,184.047,200,46091,0,0
http,warmup,4,180.716,200,46091,0,0
http,warmup,5,172.948,200,46091,0,0
http,measured,1,174.859,200,46091,0,0
http,measured,2,638.927,200,46091,0,0
http,measured,3,284.641,200,46091,0,0
http,measured,4,217.602,200,46091,0,0
http,measured,5,181.207,200,46091,0,0
http,measured,6,172.362,200,46091,0,0
http,measured,7,172.864,200,46091,0,0
http,measured,8,193.225,200,46091,0,0
http,measured,9,176.815,200,46091,0,0
http,measured,10,161.074,200,46091,0,0
http,measured,11,171.509,200,46091,0,0
http,measured,12,181.668,200,46091,0,0
http,measured,13,162.174,200,46091,0,0
http,measured,14,155.964,200,46091,0,0
http,measured,15,157.962,200,46091,0,0
http,measured,16,205.207,200,46091,0,0
http,measured,17,213.382,200,46091,0,0
http,measured,18,176.014,200,46091,0,0
http,measured,19,190.014,200,46091,0,0
http,measured,20,190.669,200,46091,0,0
http_xml,warmup,1,285.851,200,46091,60,60
http_xml,warmup,2,290.762,200,46091,60,60
http_xml,warmup,3,224.998,200,46091,60,60
http_xml,warmup,4,231.84,200,46091,60,60
http_xml,warmup,5,246.854,200,46091,60,60
http_xml,measured,1,293.324,200,46091,60,60
http_xml,measured,2,242.23,200,46091,60,60
http_xml,measured,3,220.332,200,46091,60,60
http_xml,measured,4,229.28,200,46091,60,60
http_xml,measured,5,260.49,200,46091,60,60
http_xml,measured,6,245.575,200,46091,60,60
http_xml,measured,7,222.256,200,46091,60,60
http_xml,measured,8,223.863,200,46091,60,60
http_xml,measured,9,248.42,200,46091,60,60
http_xml,measured,10,318.13,200,46091,60,60
http_xml,measured,11,214.509,200,46091,60,60
http_xml,measured,12,195.699,200,46091,60,60
http_xml,measured,13,189.713,200,46091,60,60
http_xml,measured,14,209.458,200,46091,60,60
http_xml,measured,15,206.001,200,46091,60,60
http_xml,measured,16,199.521,200,46091,60,60
http_xml,measured,17,207.988,200,46091,60,60
http_xml,measured,18,225.665,200,46091,60,60
http_xml,measured,19,201.919,200,46091,60,60
http_xml,measured,20,211.258,200,46091,60,60
http_xml_sort,warmup,1,271.688,200,46091,60,60
http_xml_sort,warmup,2,233.077,200,46091,60,60
http_xml_sort,warmup,3,199.058,200,46091,60,60
http_xml_sort,warmup,4,197.415,200,46091,60,60
http_xml_sort,warmup,5,201.194,200,46091,60,60
http_xml_sort,measured,1,223.482,200,46091,60,60
http_xml_sort,measured,2,193.604,200,46091,60,60
http_xml_sort,measured,3,194.461,200,46091,60,60
http_xml_sort,measured,4,198.334,200,46091,60,60
http_xml_sort,measured,5,213.251,200,46091,60,60
http_xml_sort,measured,6,210.679,200,46091,60,60
http_xml_sort,measured,7,199.573,200,46091,60,60
http_xml_sort,measured,8,206.803,200,46091,60,60
http_xml_sort,measured,9,216.427,200,46091,60,60
http_xml_sort,measured,10,199.369,200,46091,60,60
http_xml_sort,measured,11,191.046,200,46091,60,60
http_xml_sort,measured,12,194.924,200,46091,60,60
http_xml_sort,measured,13,215.692,200,46091,60,60
http_xml_sort,measured,14,206.438,200,46091,60,60
http_xml_sort,measured,15,200.831,200,46091,60,60
http_xml_sort,measured,16,239.551,200,46091,60,60
http_xml_sort,measured,17,324.976,200,46091,60,60
http_xml_sort,measured,18,281.716,200,46091,60,60
http_xml_sort,measured,19,260.219,200,46091,60,60
http_xml_sort,measured,20,236.073,200,46091,60,60
http_xml_sort_map,warmup,1,222.102,200,46091,60,60
http_xml_sort_map,warmup,2,224.568,200,46091,60,60
http_xml_sort_map,warmup,3,224.001,200,46091,60,60
http_xml_sort_map,warmup,4,222.925,200,46091,60,60
http_xml_sort_map,warmup,5,234.102,200,46091,60,60
http_xml_sort_map,measured,1,236.819,200,46091,60,60
http_xml_sort_map,measured,2,217.645,200,46091,60,60
http_xml_sort_map,measured,3,221.508,200,46091,60,60
http_xml_sort_map,measured,4,228.979,200,46091,60,60
http_xml_sort_map,measured,5,244.4,200,46091,60,60
http_xml_sort_map,measured,6,294.286,200,46091,60,60
http_xml_sort_map,measured,7,264.412,200,46091,60,60
http_xml_sort_map,measured,8,252.928,200,46091,60,60
http_xml_sort_map,measured,9,263.827,200,46091,60,60
http_xml_sort_map,measured,10,228.399,200,46091,60,60
http_xml_sort_map,measured,11,234.845,200,46091,60,60
http_xml_sort_map,measured,12,227.809,200,46091,60,60
http_xml_sort_map,measured,13,231.292,200,46091,60,60
http_xml_sort_map,measured,14,233.888,200,46091,60,60
http_xml_sort_map,measured,15,245.431,200,46091,60,60
http_xml_sort_map,measured,16,231.958,200,46091,60,60
http_xml_sort_map,measured,17,268.536,200,46091,60,60
http_xml_sort_map,measured,18,464.117,200,46091,60,60
http_xml_sort_map,measured,19,339.066,200,46091,60,60
http_xml_sort_map,measured,20,291.784,200,46091,60,60
full_result,warmup,1,267.63,200,46091,60,60
full_result,warmup,2,300.15,200,46091,60,60
full_result,warmup,3,292.284,200,46091,60,60
full_result,warmup,4,247.156,200,46091,60,60
full_result,warmup,5,240.354,200,46091,60,60
full_result,measured,1,237.86,200,46091,60,60
full_result,measured,2,251.784,200,46091,60,60
full_result,measured,3,302.387,200,46091,60,60
full_result,measured,4,304.864,200,46091,60,60
full_result,measured,5,261.912,200,46091,60,60
full_result,measured,6,258.844,200,46091,60,60
full_result,measured,7,241.83,200,46091,60,60
full_result,measured,8,261.992,200,46091,60,60
full_result,measured,9,280.782,200,46091,60,60
full_result,measured,10,247.43,200,46091,60,60
full_result,measured,11,237.962,200,46091,60,60
full_result,measured,12,239.882,200,46091,60,60
full_result,measured,13,520.648,200,46091,60,60
full_result,measured,14,305.893,200,46091,60,60
full_result,measured,15,244.902,200,46091,60,60
full_result,measured,16,253.531,200,46091,60,60
full_result,measured,17,238.411,200,46091,60,60
full_result,measured,18,230.214,200,46091,60,60
full_result,measured,19,247.392,200,46091,60,60
full_result,measured,20,269.359,200,46091,60,60
